0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng
AKF|AKF|Куфра|Куфра|Kufrah|Kufrah|Куфра|Куфра|Kufrah|Kufrah
AKG|AKG|Ангуганак|Ангуганак|Anguganak|Anguganak|Ангуганак|Ангуганак|Anguganak|Anguganak
AKH|AKH|||Prince Sultan Air Base|Prince Sultan Air Base|||Al Kharj|Al Kharj
AKI|AKI|||Akiak|Akiak|||Akiak|Akiak
AKJ|AKJ|Асахикава|Асахикава|Asahikawa|Asahikawa|Асахикава|Асахикава|Asahikawa|Asahikawa
AKK|AKK|||Akhiok SPB|Akhiok SPB|||Akhiok|Akhiok
AKL|AKL|||Auckland International|Auckland International|Окленд|Окленд|Auckland|Auckland
AKM|AKM|Закума|Закума|Zakouma|Zakouma|Закума|Закума|Zakouma|Zakouma
AKN|AKN|||King Salmon|King Salmon|||King Salmon|King Salmon
AKO|AKO|||Colorado Plains Regional Airport|Colorado Plains Regional Airport|Akron|Akron|Akron, CO|Akron, CO
AKP|AKP|||Anaktuvuk|Anaktuvuk|||Anaktuvuk|Anaktuvuk
AKQ|AKQ|||Gunung Batin|Gunung Batin|Астраксетра|Астраксетра|Astraksetra|Astraksetra
AKR|AKR|Акере|Акере|Akure|Akure|Акере|Акере|Akure|Akure
AKT|AKT|||Akrotiri Raf|Akrotiri Raf|Акротири|Акротири|Akrotiri|Akrotiri
AKU|AKU|Аксу|Аксу|Aksu|Aksu|Аксу|Аксу|Aksu|Aksu
AKV|AKV|||Akulivik|Akulivik|||Akulivik|Akulivik
AKW|AKW|||Aghajari|Aghajari|||Aghajari|Aghajari
AKX|AKX|Актюбинск|Актюбинск|Aktyubinsk|Aktyubinsk|Актюбинск|Актюбинск|Aktyubinsk|Aktyubinsk
AKY|AKY|||Civil|Civil|||Sittwe|Sittwe
ALA|ALA|Алматы|Алматы|Almaty|Almaty|Алматы|Алматы|Almaty|Almaty
ALB|ALB|Олбани международный|Олбани международный|Albany International|Albany International|Олбани|Олбани|Albany|Albany
ALC|ALC|||Alicante El Altet|Alicante El Altet|Аликанте|Аликанте|Alicante|Alicante
ALD|ALD|Алерта|Алерта|Alerta|Alerta|Алерта|Алерта|Alerta|Alerta
ALE|ALE|||Alpine|Alpine|||Alpine|Alpine
ALF|ALF|Альта|Альта|Alta|Alta|Алта|Алта|Alta|Alta
ALG|ALG|||Houari Boumediene|Houari Boumediene|||Algiers|Algiers
